Nom de l'e-mail,Date d'envoi (votre fuseau horaire),Envoyé,Taux de clics/ouvertures,Taux de distribution,Taux de désabonnement,Taux de spam,Taux d'ouverture,Taux de clics,Cliqué,Remis,Ouvert,Désabonné,segments,statut,reason,segment,statut_filled
FR - Invitation J-2 Post Bac+2/3 27/05/26,2026-05-25 18:00:06,472,2.419,99.576,1.702,0.0,26.383,0.638,3,470,124,8,"{'bac2', 'bac3'}",,ok,bac3,lead
INT - Typeform - MSc - Supply Chain,2026-04-17 14:52:42,1,0.0,100.0,0.0,0.0,0.0,0.0,0,1,0,0,"{'bac45', 'bac3'}",,ok,bac45,lead
INT - Typeform - MSc - Supply Chain,2026-04-17 14:52:42,1,0.0,100.0,0.0,0.0,0.0,0.0,0,1,0,0,"{'bac45', 'bac3'}",,ok,bac3,lead
INT - Typeform - MSc - Brand & Marketing Management,2026-04-14 16:49:06,2,0.0,50.0,0.0,0.0,0.0,0.0,0,1,0,0,"{'bac45', 'bac3'}",,ok,bac45,lead
INT - Typeform - MSc - Brand & Marketing Management,2026-04-14 16:49:06,2,0.0,50.0,0.0,0.0,0.0,0.0,0,1,0,0,"{'bac45', 'bac3'}",,ok,bac3,lead
INT - Nurturing 25-26 *Parents* FR - 1d Msc,2026-06-23 15:22:19,3,0.0,100.0,0.0,0.0,66.667,0.0,0,3,2,0,"{'bac45', 'bac3'}",,ok,bac45,lead
INT - Nurturing 25-26 *Parents* FR - 1d Msc,2026-06-23 15:22:19,3,0.0,100.0,0.0,0.0,66.667,0.0,0,3,2,0,"{'bac45', 'bac3'}",,ok,bac3,lead
FR - Remerciement brochure - MSc Marketing digital et stratégies d’influence,2026-06-18 13:25:21,112,43.333,99.107,0.901,0.0,27.027,11.712,13,111,30,1,"{'bac45', 'bac3'}",,ok,bac45,lead
FR - Remerciement brochure - MSc Marketing digital et stratégies d’influence,2026-06-18 13:25:21,112,43.333,99.107,0.901,0.0,27.027,11.712,13,111,30,1,"{'bac45', 'bac3'}",,ok,bac3,lead
FR - Remerciement brochure - MSc Innovative Business Models & Greentech Start-ups,2026-06-18 12:09:02,3,33.333,100.0,0.0,0.0,100.0,33.333,1,3,3,0,"{'bac45', 'bac3'}",,ok,bac45,lead
